Training, CleanDataset, 100 files | SIFT, 1000 maxDesPerImg, 10 SIFT scale, 4 HOG cellsize, 2.20 s | 300 clusters, 0 binHist, 0.19 s | SDCA solver, Logistic loss, 1e-02 lambda, 0.03 s | 72.00% accuracy, 0.01 s | 6.25 s
Training, CleanDataset, 20000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 455.07 s | 300 clusters, 0 binHist, 139.93 s | SDCA solver, Logistic loss, 1e-03 lambda, 2.76 s | 34.79% accuracy, 0.12 s | 603.29 s
Testing, CleanDataset, 242 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 5.52 s | 300 clusters, 0 binHist, 0.08 s | SDCA solver, Logistic loss, 1e-03 lambda, 2.76 s | 31.82% accuracy, 0.01 s | 9.53 s
Training, CleanDataset, 20000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 466.28 s | 300 clusters, 0 binHist, 146.33 s | SDCA solver, Logistic loss, 1e-03 lambda, 2.77 s | 33.09% accuracy, 0.12 s | 620.77 s
Testing, CleanDataset, 489 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 11.22 s | 300 clusters, 0 binHist, 0.18 s | SDCA solver, Logistic loss, 1e-03 lambda, 2.77 s | 32.72% accuracy, 0.01 s | 15.44 s
Training, CleanDataset, 20000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 475.72 s | 300 clusters, 0 binHist, 142.57 s | SDCA solver, Logistic loss, 1e-03 lambda, 2.77 s | 30.59% accuracy, 0.13 s | 626.66 s
Testing, CleanDataset, 735 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.01 s | 300 clusters, 0 binHist, 0.24 s | SDCA solver, Logistic loss, 1e-03 lambda, 2.77 s | 27.07% accuracy, 0.01 s | 21.40 s


Executions varying number of clusters and SVMs lambda.

Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 114.28 s | 200 clusters, 0 binHist, 18.45 s | SDCA solver, Logistic loss, 1e-03 lambda, 0.67 s | 34.58% accuracy, 0.03 s | 137.73 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.57 s | 200 clusters, 0 binHist, 0.21 s | SDCA solver, Logistic loss, 1e-03 lambda, 0.67 s | 30.87% accuracy, 0.02 s | 21.88 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 114.47 s | 200 clusters, 0 binHist, 20.12 s | SDCA solver, Logistic loss, 1e-04 lambda, 3.32 s | 35.00% accuracy, 0.03 s | 142.32 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.64 s | 200 clusters, 0 binHist, 0.21 s | SDCA solver, Logistic loss, 1e-04 lambda, 3.32 s | 33.16% accuracy, 0.01 s | 21.87 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 115.36 s | 200 clusters, 0 binHist, 22.19 s | SDCA solver, Logistic loss, 1e-05 lambda, 29.78 s | 35.88% accuracy, 0.03 s | 171.65 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.84 s | 200 clusters, 0 binHist, 0.20 s | SDCA solver, Logistic loss, 1e-05 lambda, 29.78 s | 31.76% accuracy, 0.01 s | 22.05 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 115.28 s | 200 clusters, 0 binHist, 18.80 s | SDCA solver, Logistic loss, 1e-06 lambda, 291.85 s | 35.94% accuracy, 0.03 s | 430.25 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.76 s | 200 clusters, 0 binHist, 0.19 s | SDCA solver, Logistic loss, 1e-06 lambda, 291.85 s | 32.40% accuracy, 0.01 s | 21.95 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 115.42 s | 400 clusters, 0 binHist, 35.12 s | SDCA solver, Logistic loss, 1e-03 lambda, 1.21 s | 36.90% accuracy, 0.04 s | 156.11 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.65 s | 400 clusters, 0 binHist, 0.32 s | SDCA solver, Logistic loss, 1e-03 lambda, 1.21 s | 34.06% accuracy, 0.01 s | 22.01 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 114.04 s | 400 clusters, 0 binHist, 37.84 s | SDCA solver, Logistic loss, 1e-04 lambda, 5.44 s | 40.20% accuracy, 0.04 s | 161.68 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 18.05 s | 400 clusters, 0 binHist, 0.31 s | SDCA solver, Logistic loss, 1e-04 lambda, 5.44 s | 34.31% accuracy, 0.01 s | 22.40 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 114.16 s | 400 clusters, 0 binHist, 35.85 s | SDCA solver, Logistic loss, 1e-05 lambda, 46.09 s | 41.10% accuracy, 0.04 s | 200.49 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.92 s | 400 clusters, 0 binHist, 0.30 s | SDCA solver, Logistic loss, 1e-05 lambda, 46.09 s | 33.55% accuracy, 0.01 s | 22.24 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 113.68 s | 400 clusters, 0 binHist, 41.47 s | SDCA solver, Logistic loss, 1e-06 lambda, 446.98 s | 39.74% accuracy, 0.05 s | 606.52 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.83 s | 400 clusters, 0 binHist, 0.33 s | SDCA solver, Logistic loss, 1e-06 lambda, 446.98 s | 31.25% accuracy, 0.01 s | 22.19 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 113.28 s | 600 clusters, 0 binHist, 51.93 s | SDCA solver, Logistic loss, 1e-03 lambda, 1.76 s | 41.90% accuracy, 0.06 s | 171.33 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 18.03 s | 600 clusters, 0 binHist, 0.42 s | SDCA solver, Logistic loss, 1e-03 lambda, 1.76 s | 34.06% accuracy, 0.01 s | 22.41 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 112.98 s | 600 clusters, 0 binHist, 56.65 s | SDCA solver, Logistic loss, 1e-04 lambda, 7.45 s | 42.90% accuracy, 0.06 s | 181.50 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.88 s | 600 clusters, 0 binHist, 0.41 s | SDCA solver, Logistic loss, 1e-04 lambda, 7.45 s | 33.16% accuracy, 0.01 s | 22.26 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 112.63 s | 600 clusters, 0 binHist, 53.73 s | SDCA solver, Logistic loss, 1e-05 lambda, 59.02 s | 45.34% accuracy, 0.06 s | 229.75 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.69 s | 600 clusters, 0 binHist, 0.40 s | SDCA solver, Logistic loss, 1e-05 lambda, 59.02 s | 31.76% accuracy, 0.01 s | 21.81 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 110.79 s | 600 clusters, 0 binHist, 40.49 s | SDCA solver, Logistic loss, 1e-06 lambda, 534.63 s | 44.12% accuracy, 0.06 s | 689.88 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.63 s | 600 clusters, 0 binHist, 0.31 s | SDCA solver, Logistic loss, 1e-06 lambda, 534.63 s | 32.91% accuracy, 0.01 s | 21.57 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 111.77 s | 800 clusters, 0 binHist, 66.12 s | SDCA solver, Logistic loss, 1e-03 lambda, 2.18 s | 42.48% accuracy, 0.07 s | 184.05 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.75 s | 800 clusters, 0 binHist, 0.40 s | SDCA solver, Logistic loss, 1e-03 lambda, 2.18 s | 33.80% accuracy, 0.01 s | 22.10 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 111.46 s | 800 clusters, 0 binHist, 66.46 s | SDCA solver, Logistic loss, 1e-04 lambda, 8.99 s | 46.88% accuracy, 0.07 s | 191.14 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.45 s | 800 clusters, 0 binHist, 0.47 s | SDCA solver, Logistic loss, 1e-04 lambda, 8.99 s | 33.16% accuracy, 0.01 s | 21.81 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 111.37 s | 800 clusters, 0 binHist, 57.80 s | SDCA solver, Logistic loss, 1e-05 lambda, 68.38 s | 48.22% accuracy, 0.07 s | 241.66 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.54 s | 800 clusters, 0 binHist, 0.42 s | SDCA solver, Logistic loss, 1e-05 lambda, 68.38 s | 30.99% accuracy, 0.01 s | 21.79 s
Training, CleanDataset, 5000 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 111.11 s | 800 clusters, 0 binHist, 66.31 s | SDCA solver, Logistic loss, 1e-06 lambda, 636.91 s | 49.52% accuracy, 0.06 s | 818.51 s
Testing, CleanDataset, 784 files | SIFT, 0 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 17.76 s | 800 clusters, 0 binHist, 0.41 s | SDCA solver, Logistic loss, 1e-06 lambda, 636.91 s | 30.10% accuracy, 0.01 s | 21.93 s


Execution varying the scale at which the single SIFT feature is computed.

Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 1 SIFT scale, 4 HOG cellsize, 72.52 s | 128 clusters, 0 binHist, 0.11 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.84 s | 21.38% accuracy, 0.06 s | 103.65 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 1 SIFT scale, 4 HOG cellsize, 11.84 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.84 s | 19.39% accuracy, 0.02 s | 15.57 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 2 SIFT scale, 4 HOG cellsize, 74.93 s | 128 clusters, 0 binHist, 0.09 s | SDCA solver, Logistic loss, 1e-05 lambda, 25.93 s | 9.46% accuracy, 0.02 s | 104.93 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 2 SIFT scale, 4 HOG cellsize, 11.57 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 25.93 s | 8.67% accuracy, 0.01 s | 15.32 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 3 SIFT scale, 4 HOG cellsize, 75.84 s | 128 clusters, 0 binHist, 0.12 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.99 s | 24.48% accuracy, 0.02 s | 107.30 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 3 SIFT scale, 4 HOG cellsize, 11.90 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.99 s | 21.43% accuracy, 0.01 s | 15.70 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 4 SIFT scale, 4 HOG cellsize, 68.20 s | 128 clusters, 0 binHist, 0.09 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.63 s | 30.96% accuracy, 0.02 s | 99.01 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 4 SIFT scale, 4 HOG cellsize, 10.74 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.63 s | 29.85% accuracy, 0.01 s | 14.44 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 5 SIFT scale, 4 HOG cellsize, 69.54 s | 128 clusters, 0 binHist, 0.09 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.51 s | 37.34% accuracy, 0.02 s | 100.30 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 5 SIFT scale, 4 HOG cellsize, 11.08 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.51 s | 35.71% accuracy, 0.01 s | 14.73 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 6 SIFT scale, 4 HOG cellsize, 69.80 s | 128 clusters, 0 binHist, 0.11 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.60 s | 11.02% accuracy, 0.02 s | 100.59 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 6 SIFT scale, 4 HOG cellsize, 11.22 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.60 s | 12.12% accuracy, 0.01 s | 15.10 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 7 SIFT scale, 4 HOG cellsize, 69.92 s | 128 clusters, 0 binHist, 0.10 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.59 s | 28.62% accuracy, 0.02 s | 100.65 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 7 SIFT scale, 4 HOG cellsize, 10.96 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.59 s | 28.57% accuracy, 0.01 s | 14.83 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 8 SIFT scale, 4 HOG cellsize, 64.42 s | 128 clusters, 0 binHist, 0.10 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.41 s | 19.82% accuracy, 0.02 s | 95.17 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 8 SIFT scale, 4 HOG cellsize, 10.58 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.41 s | 20.79% accuracy, 0.01 s | 14.43 s
